,location,name,num_faved,pid,price,status,uid,update_time,used,datetime,date,size,product_name,brand,product_type,color,release_price,location1,location2,location3
88,서울특별시 송파구 오륜동,W240) 조던1 로우 스타피쉬 우먼즈 ,18,165754857,270000,3,781256,1633840787,2,2021-10-10 13:39:47,2021-10-10,240,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,송파구,오륜동
89,인천광역시 연수구 선학동,(265)나이키 조던1 로우 스타피쉬,1,166526045,280000,3,513078,1633791630,1,2021-10-10 00:00:30,2021-10-10,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,인천광역시,연수구,선학동
90,경기도 군포시 재궁동,[290] 나이키 조던1 로우 OG 스타피쉬,0,166471724,11111,3,2882076,1633700790,2,2021-10-08 22:46:30,2021-10-08,290,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,군포시,재궁동
91,경기도 양주시 회천2동,조던1 OG 로우 스타피쉬 270사이즈 판매합니다,2,165885818,330000,3,9915411,1633681884,1,2021-10-08 17:31:24,2021-10-08,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,양주시,회천2동
92,경기도 고양시 일산서구 주엽1동,조던 로우 1 스타피쉬(W245) 판매합니다,5,166317655,250000,3,1989812,1633672339,1,2021-10-08 14:52:19,2021-10-08,245,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,고양시,일산서구 주엽1동
93,충청북도 청주시 서원구 성화.개신.죽림동,조던 1 로우 OG 스타피쉬 265,0,166408917,310000,3,74302761,1633667465,1,2021-10-08 13:31:05,2021-10-08,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,충청북도,청주시,서원구 성화.개신.죽림동
94,서울특별시 은평구 불광제1동,나이키 스타피쉬 에어 조던 1 로우 OG 스타피쉬 270 팝니다,0,166318205,350000,3,3213963,1633663045,2,2021-10-08 12:17:25,2021-10-08,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,은평구,불광제1동
95,경기도 안산시 상록구 부곡동,나이키 조던1로우 스타피쉬 270,0,166339265,290000,3,6898,1633586808,1,2021-10-07 15:06:48,2021-10-07,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,안산시,상록구 부곡동
96,경기도 파주시 광탄면,300조던1 로우 OG 스타피쉬,2,165061555,310000,3,1897633,1633565472,1,2021-10-07 09:11:12,2021-10-07,300,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,파주시,광탄면
97,부산광역시 금정구 부곡제2동,[W265] 조던 1 로우 스타피쉬,1,166266055,275000,3,1027522,1633512652,2,2021-10-06 18:30:52,2021-10-06,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,부산광역시,금정구,부곡제2동
98,서울특별시 송파구 문정2동,[275] 조던 1 로우 OG 스타피쉬,1,166185275,340000,3,3242872,1633511036,2,2021-10-06 18:03:56,2021-10-06,275,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,송파구,문정2동
99,서울특별시 동대문구 전농제2동,조던 1 로우 og 스타피쉬 w235,7,165694465,250000,3,5778370,1633485906,1,2021-10-06 11:05:06,2021-10-06,235,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,동대문구,전농제2동
100,경기도 김포시 풍무동,조던1 로우 스타피쉬 W265,2,166209349,235000,3,2708364,1633447998,1,2021-10-06 00:33:18,2021-10-06,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,김포시,풍무동
101,경상남도 창원시 진해구 웅동2동,나이키 에어 조던 1 로우  OG 스타피쉬  265,0,166204256,326000,3,12283878,1633444039,2,2021-10-05 23:27:19,2021-10-05,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경상남도,창원시,진해구 웅동2동
102,경기도 화성시 새솔동,265 나이키 조던1 로우 스타피쉬,1,166153238,330000,3,1779291,1633435083,2,2021-10-05 20:58:03,2021-10-05,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,화성시,새솔동
